City_ID,City,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
185,kruisfontein,-34.0033,24.7314,64.89,87,72,10.65,ZA,2023-01-30 16:18:12
186,honiara,-9.4333,159.95,84.34,68,95,3.56,SB,2023-01-30 16:18:13
187,dandong,40.1292,124.3947,20.57,77,62,3.91,CN,2023-01-30 16:18:14
188,reconquista,-29.15,-59.65,86.07,25,12,5.73,AR,2023-01-30 16:18:15
189,mar del plata,-38.0023,-57.5575,74.08,91,0,11.99,AR,2023-01-30 16:18:16
190,pacifica,37.6138,-122.4869,55.31,28,0,10.36,US,2023-01-30 16:18:18
191,dwarka,22.2394,68.9678,65.34,53,0,10.18,IN,2023-01-30 16:18:18
192,jamalpur,24.9167,89.9333,62.73,63,3,2.59,BD,2023-01-30 16:18:19
193,kavkazskiy,44.2672,42.2347,32.11,89,98,6.82,RU,2023-01-30 16:18:21
194,marsh harbour,26.5412,-77.0636,76.03,70,56,9.06,BS,2023-01-30 16:16:44
195,prince rupert,54.3161,-130.3201,33.89,93,100,23.02,CA,2023-01-30 16:15:04
196,punta alta,-38.8759,-62.0736,86.54,46,0,12.33,AR,2023-01-30 16:18:23
197,naze,28.3667,129.4833,54.52,55,10,3.8,JP,2023-01-30 16:18:25
198,san andres,12.5847,-81.7006,80.62,74,20,11.5,CO,2023-01-30 16:18:26
199,awjilah,29.1081,21.2869,51.48,41,0,13.62,LY,2023-01-30 16:18:26
200,shenzhen,22.5455,114.0683,61.14,74,11,5.14,CN,2023-01-30 16:17:19
201,duluth,46.7833,-92.1066,-0.92,56,40,10.36,US,2023-01-30 16:17:33
202,berlevag,70.8578,29.0864,30.2,93,75,8.05,NO,2023-01-30 16:18:28
203,chokurdakh,70.6333,147.9167,6.91,94,100,10.2,RU,2023-01-30 16:18:29
204,keti bandar,24.1447,67.4497,63.21,33,0,16.98,PK,2023-01-30 16:18:31
205,najran,17.4924,44.1277,57.78,44,19,1.32,SA,2023-01-30 16:14:34
206,east london,-33.0153,27.9116,68.92,90,99,17.58,ZA,2023-01-30 16:18:29
207,lorengau,-2.0226,147.2712,83.88,71,54,6.31,PG,2023-01-30 16:18:32
208,shalakusha,62.2247,40.2539,30.2,95,100,11.16,RU,2023-01-30 16:18:33
209,marhaura,25.9667,84.8667,64.33,74,4,7.45,IN,2023-01-30 16:18:33
210,falmouth,50.1544,-5.0711,45.5,75,76,4.61,GB,2023-01-30 16:18:34
211,avera,33.194,-82.5271,55.54,95,100,1.9,US,2023-01-30 16:18:35
212,san vicente,-26.6167,-54.1333,66.11,100,84,1.99,AR,2023-01-30 16:18:36
213,hambantota,6.1241,81.1185,76.28,85,100,6.8,LK,2023-01-30 16:18:38
214,rio gallegos,-51.6226,-69.2181,53.42,47,55,27.98,AR,2023-01-30 16:14:06
215,hay river,60.8156,-115.7999,-11.22,84,20,6.91,CA,2023-01-30 16:18:39
216,jamestown,42.097,-79.2353,27.01,70,100,4.61,US,2023-01-30 16:14:53
217,along,28.1667,94.7667,53.08,67,0,1.52,IN,2023-01-30 16:18:40
218,vestmannaeyjar,63.4427,-20.2734,41.99,85,100,25.86,IS,2023-01-30 16:18:41
219,gondanglegi,-7.7479,112.0132,75.74,90,100,5.84,ID,2023-01-30 16:18:41
220,viedma,-40.8135,-62.9967,68.95,73,57,26.98,AR,2023-01-30 16:18:42
221,cidreira,-30.1811,-50.2056,75.63,85,0,14.29,BR,2023-01-30 16:18:43
222,impfondo,1.6381,18.0667,69.75,85,47,3.15,CG,2023-01-30 16:18:43
223,arcachon,44.5875,-1.0519,42.85,87,100,3.44,FR,2023-01-30 16:18:44
224,devarkonda,16.7,78.9333,66.81,93,62,5.28,IN,2023-01-30 16:18:45
225,puerto colombia,10.9878,-74.9547,77.09,80,6,24.23,CO,2023-01-30 16:18:46
226,leningradskiy,69.3833,178.4167,10.18,96,100,9.55,RU,2023-01-30 16:18:47
227,makurdi,7.7411,8.5121,87.24,39,5,8.84,NG,2023-01-30 16:18:47
228,ternate,0.8,127.4,79.02,85,95,6.82,ID,2023-01-30 16:18:48
229,henties bay,-22.116,14.2845,63.66,85,85,4.94,NA,2023-01-30 16:18:49
230,tokur,53.1333,132.9,-32.58,100,99,2.64,RU,2023-01-30 16:18:50
231,walvis bay,-22.9575,14.5053,63.09,83,65,11.21,NA,2023-01-30 16:18:50
232,rongcheng,30.634,117.8517,43.02,53,2,3.76,CN,2023-01-30 16:18:51
233,brae,60.3964,-1.353,39.92,97,100,21.81,GB,2023-01-30 16:18:51
234,alice springs,-23.7,133.8833,74.75,83,100,0.0,AU,2023-01-30 16:18:52
235,krasnogorsk,55.8225,37.3181,28.74,86,100,15.66,RU,2023-01-30 16:18:53
236,iqaluit,63.7506,-68.5145,-29.47,68,20,0.0,CA,2023-01-30 16:18:54
237,riyadh,24.6877,46.7219,59.14,37,1,8.7,SA,2023-01-30 16:14:39
238,calama,-22.4667,-68.9333,64.89,55,40,19.57,CL,2023-01-30 16:18:55
239,lukovetskiy,64.2956,41.9211,25.02,95,100,11.79,RU,2023-01-30 16:18:55
240,richards bay,-28.783,32.0377,69.96,93,100,3.58,ZA,2023-01-30 16:18:56
241,northam,51.0333,-4.2167,45.61,86,96,11.18,GB,2023-01-30 16:18:56
242,burns lake,54.2331,-125.7533,11.62,85,100,0.69,CA,2023-01-30 16:18:57
243,san quintin,30.4833,-115.95,57.65,67,95,10.56,MX,2023-01-30 16:18:58
244,bengkulu,-3.8004,102.2655,75.54,90,100,5.14,ID,2023-01-30 16:18:59
245,druskininkai,54.0167,23.9667,34.47,91,99,12.1,LT,2023-01-30 16:18:59
246,hasaki,35.7333,140.8333,39.29,49,67,14.72,JP,2023-01-30 16:19:00
247,faya,18.3851,42.4509,52.32,87,61,3.53,SA,2023-01-30 16:19:01
248,oranjemund,-28.55,16.4333,60.73,92,0,2.33,NA,2023-01-30 16:19:01
249,sovetskiy,61.3614,63.5842,-8.86,100,92,3.58,RU,2023-01-30 16:19:02
250,gurgaon,28.4667,77.0333,57.24,100,100,3.44,IN,2023-01-30 16:27:10
251,noyabrsk,63.1994,75.4507,5.67,95,100,11.63,RU,2023-01-30 16:27:12
252,zherdevka,51.8486,41.4606,22.1,96,45,8.01,RU,2023-01-30 16:27:13
253,anisoc,1.8658,10.7689,67.1,93,98,1.28,GQ,2023-01-30 16:27:14
254,khrebtovaya,56.7032,104.2494,3.33,95,100,7.85,RU,2023-01-30 16:27:15
255,kalininsk,51.5,44.4758,29.35,97,100,9.26,RU,2023-01-30 16:27:15
256,paita,-5.0892,-81.1144,74.28,77,54,9.93,PE,2023-01-30 16:27:16
257,kirs,59.3388,52.2447,18.93,92,100,10.56,RU,2023-01-30 16:27:17
258,longyearbyen,78.2186,15.6401,17.44,67,20,12.66,SJ,2023-01-30 16:27:17
259,apan,19.7167,-98.4167,60.55,43,0,7.65,MX,2023-01-30 16:27:18
260,mercogliano,40.9221,14.7418,44.22,68,34,5.01,IT,2023-01-30 16:27:19
261,sal rei,16.1833,-22.9167,69.64,71,86,16.64,CV,2023-01-30 16:27:19
262,saskylakh,71.9167,114.0833,-48.68,100,61,0.58,RU,2023-01-30 16:27:20
263,dunedin,-45.8742,170.5036,67.8,77,37,10.0,NZ,2023-01-30 16:27:21
264,hithadhoo,-0.6,73.0833,81.21,75,94,13.89,MV,2023-01-30 16:27:22
265,chegdomyn,51.1167,133.0167,-27.51,98,99,0.74,RU,2023-01-30 16:27:22
266,lavrentiya,65.5833,-171.0,28.81,98,100,1.21,RU,2023-01-30 16:27:23
267,burnie,-41.0667,145.9167,74.95,46,71,4.23,AU,2023-01-30 16:27:24
268,namibe,-15.1961,12.1522,72.57,76,100,3.83,AO,2023-01-30 16:27:24
269,pedernales,18.0384,-71.744,76.33,69,22,3.98,DO,2023-01-30 16:27:25
270,chimoio,-19.1164,33.4833,71.46,94,75,3.69,MZ,2023-01-30 16:27:26
271,suez,29.9737,32.5263,55.38,50,0,4.83,EG,2023-01-30 16:27:27
272,dawei,14.0833,98.2,65.16,51,57,4.7,MM,2023-01-30 16:27:27
273,ribeira grande,38.5167,-28.7,56.77,76,15,5.99,PT,2023-01-30 16:27:28
274,tiksi,71.6872,128.8694,-19.98,98,100,7.43,RU,2023-01-30 16:27:29
275,magan,39.9683,-3.931,38.52,57,0,3.0,ES,2023-01-30 16:27:29
276,passo fundo,-28.2628,-52.4067,69.85,77,59,11.48,BR,2023-01-30 16:27:28
277,taksimo,56.3444,114.8794,-0.44,91,100,3.15,RU,2023-01-30 16:26:18
278,sibolga,1.7427,98.7792,75.85,90,96,2.89,ID,2023-01-30 16:27:31
279,praia,14.9215,-23.5087,70.34,68,40,14.97,CV,2023-01-30 16:27:31
280,mahebourg,-20.4081,57.7,77.25,94,40,3.44,MU,2023-01-30 16:27:32
281,laizhou,37.1717,119.9214,34.29,61,5,4.99,CN,2023-01-30 16:27:33
282,saldanha,-33.0117,17.9442,66.25,71,0,5.77,ZA,2023-01-30 16:22:35
283,lubao,14.9167,120.55,77.07,75,62,15.3,PH,2023-01-30 16:27:34
284,rafraf,37.1904,10.1837,48.51,69,45,19.95,TN,2023-01-30 16:27:35
285,mae hong son,19.3003,97.9685,55.54,94,20,0.0,TH,2023-01-30 16:27:36
286,san patricio,28.017,-97.5169,48.06,79,100,15.61,US,2023-01-30 16:27:36
287,alyangula,-13.8483,136.4192,83.55,78,96,8.43,AU,2023-01-30 16:27:37
288,san rafael,-34.6177,-68.3301,88.88,31,11,11.39,AR,2023-01-30 16:27:38
289,pevek,69.7008,170.3133,17.35,88,99,2.08,RU,2023-01-30 16:27:39
290,los llanos de aridane,28.6585,-17.9182,56.12,73,100,10.36,ES,2023-01-30 16:27:40
291,vestmanna,62.1564,-7.1664,40.12,81,100,24.16,FO,2023-01-30 16:27:40
292,rancharia,-22.2292,-50.8931,68.22,97,98,4.5,BR,2023-01-30 16:27:41
293,mormugao,15.4,73.8,74.46,83,21,5.75,IN,2023-01-30 16:27:42
294,westport,41.1415,-73.3579,48.02,82,27,8.99,US,2023-01-30 16:27:42
295,kasane,-17.8167,25.15,64.02,95,100,4.47,BW,2023-01-30 16:27:43
296,taoudenni,22.6783,-3.9836,57.9,22,28,12.95,ML,2023-01-30 16:27:44
297,uarini,-2.99,-65.1083,74.32,97,95,2.77,BR,2023-01-30 16:27:44
298,yamada,39.4667,141.95,29.46,54,32,5.12,JP,2023-01-30 16:27:45
299,vanimo,-2.6741,141.3028,83.77,72,96,2.64,PG,2023-01-30 16:27:46
300,apodi,-5.6642,-37.7989,80.42,69,73,8.03,BR,2023-01-30 16:27:47
301,gidam,18.9833,81.4,60.42,51,6,1.54,IN,2023-01-30 16:27:47
302,kieta,-6.2167,155.6333,85.35,63,100,6.42,PG,2023-01-30 16:27:48
303,taonan,45.3333,122.7833,12.04,91,100,5.39,CN,2023-01-30 16:27:49
